model,dataset,exp,acc,f1,recall,precision,time
deffcn,ArrowHead,0,0.8628571629524231,0.8583033084869385,0.8784505724906921,0.8749932050704956,236.7364683151245
deffcn,ArrowHead,1,0.8571428656578064,0.8397459387779236,0.8708558082580566,0.8598638772964478,234.0904016494751
deffcn,ArrowHead,2,0.8514285683631897,0.8309217095375061,0.8521572351455688,0.8342554569244385,234.76534819602966
deffcn,ArrowHead,3,0.868571400642395,0.848712146282196,0.8730642199516296,0.846191942691803,232.75724482536316
deffcn,ArrowHead,4,0.8399999737739563,0.837035059928894,0.8558775782585144,0.8637580871582031,232.63211035728455
deffcn,BeetleFly,0,0.8999999761581421,0.8933333158493042,0.8933333158493042,0.8933333158493042,106.36568927764893
deffcn,BeetleFly,1,0.8500000238418579,0.8445343971252441,0.8533332943916321,0.841269850730896,105.41215872764587
deffcn,BeetleFly,2,0.949999988079071,0.9445887804031372,0.9333333969116211,0.9636363983154297,104.93251967430115
deffcn,BeetleFly,3,0.949999988079071,0.9445887804031372,0.9333333969116211,0.9636363983154297,104.8625066280365
deffcn,BeetleFly,4,0.949999988079071,0.9481781125068665,0.9600000381469727,0.9428571462631226,105.27644109725952
deffcn,Car,0,0.9333333373069763,0.9278787970542908,0.930555522441864,0.930555522441864,303.13821387290955
deffcn,Car,1,0.9333333373069763,0.9188616871833801,0.9138888716697693,0.9376983642578125,304.9182484149933
deffcn,Car,2,0.8666666746139526,0.8541799187660217,0.8594444394111633,0.8561111092567444,303.52887630462646
deffcn,Car,3,0.9333333373069763,0.9243956208229065,0.9194444417953491,0.9589285254478455,303.79330825805664
deffcn,Car,4,0.9666666388511658,0.9640692472457886,0.9638888835906982,0.9763888716697693,303.94146752357483
deffcn,Earthquakes,0,0.7266187071800232,0.5925642251968384,0.5981858372688293,0.6277927160263062,1172.0484442710876
deffcn,Earthquakes,1,0.7338129281997681,0.5449249744415283,0.5582919716835022,0.5889454483985901,1174.7795338630676
deffcn,Earthquakes,2,0.7338129281997681,0.5889546871185303,0.5906932950019836,0.6657772064208984,1170.0054893493652
deffcn,Earthquakes,3,0.7194244861602783,0.5393394231796265,0.5621209740638733,0.5288488268852234,1174.7270529270172
deffcn,Earthquakes,4,0.7122302055358887,0.5123344659805298,0.5349457263946533,0.509617030620575,1167.5760333538055
deffcn,FaceAll,0,0.9278106689453125,0.7916816473007202,0.7798252701759338,0.8100590705871582,1720.3454937934875
deffcn,FaceAll,1,0.9289940595626831,0.8027963042259216,0.7919645309448242,0.8198422193527222,1718.6185541152954
deffcn,FaceAll,2,0.9266272187232971,0.757396936416626,0.7471616268157959,0.7728206515312195,1694.6158645153046
deffcn,FaceAll,3,0.9461538195610046,0.8205835223197937,0.8117541670799255,0.8335305452346802,1696.7756168842316
deffcn,FaceAll,4,0.94733726978302,0.7947416305541992,0.7864090204238892,0.8069032430648804,1703.9732854366302
deffcn,Lightning7,0,0.7534246444702148,0.6715952754020691,0.6708414554595947,0.7091231346130371,272.01608419418335
deffcn,Lightning7,1,0.767123281955719,0.6643655896186829,0.6748532056808472,0.6985835433006287,253.27487468719482
deffcn,Lightning7,2,0.7123287916183472,0.6136392951011658,0.6137964725494385,0.6529462933540344,249.32025027275085
deffcn,Lightning7,3,0.7534246444702148,0.633686363697052,0.6377038359642029,0.6451961398124695,250.28081393241882
deffcn,Lightning7,4,0.698630154132843,0.58016437292099,0.5809197425842285,0.6285062432289124,249.37551760673523
deffcn,MoteStrain,0,0.9321086406707764,0.9258260130882263,0.9318335056304932,0.9294482469558716,796.8650228977203
deffcn,MoteStrain,1,0.9313098788261414,0.9250969886779785,0.9323809146881104,0.9266096949577332,776.3607771396637
deffcn,MoteStrain,2,0.9337060451507568,0.9284756779670715,0.930350124835968,0.934846818447113,760.8985891342163
deffcn,MoteStrain,3,0.9337060451507568,0.9284756779670715,0.930350124835968,0.934846818447113,760.898589134216334
deffcn,MoteStrain,4,0.9265175461769104,0.9208090305328369,0.9246809482574463,0.9248179197311401,763.3878245353699
deffcn,ProximalPhalanxTW,0,0.785365879535675,0.5975614190101624,0.6230717301368713,0.6222256422042847,436.3980460166931
deffcn,ProximalPhalanxTW,1,0.7609755992889404,0.5517784357070923,0.5799769163131714,0.5730394124984741,432.60674381256104
deffcn,ProximalPhalanxTW,2,0.7756097316741943,0.5730288028717041,0.5969014763832092,0.5887268781661987,431.687490940094
deffcn,ProximalPhalanxTW,3,0.7756097316741943,0.5507233738899231,0.5853440165519714,0.5615201592445374,431.2354168891907
deffcn,ProximalPhalanxTW,4,0.7609755992889404,0.5522332787513733,0.5824750661849976,0.5816717147827148,405.83453154563904
deffcn,Wine,0,0.6111111044883728,0.4356901943683624,0.412962943315506,0.4772079586982727,153.74041843414307
deffcn,Wine,1,0.7962962985038757,0.6410582065582275,0.6018518805503845,0.7037037014961243,152.02447032928467
deffcn,Wine,2,0.8333333134651184,0.793880820274353,0.7685185074806213,0.8518518805503845,154.61852598190308
deffcn,Wine,3,0.8518518805503845,0.6596391201019287,0.6296296119689941,0.7037037014961243,154.13234782218933
deffcn,Wine,4,0.8888888955116272,0.817663848400116,0.7962962985038757,0.8518518805503845,155.62382459640503
deffcn,FreezerSmallTrain,0,0.8701754212379456,0.5302805304527283,0.5027836561203003,0.5658479928970337,61.90834879875183
deffcn,FreezerSmallTrain,1,0.8684210777282715,0.521401584148407,0.49348539113998413,0.557426929473877,62.42509484291077
deffcn,FreezerSmallTrain,2,0.8817543983459473,0.5399250388145447,0.5141988396644592,0.5719298124313354,60.05381751060486
deffcn,FreezerSmallTrain,3,0.8831579089164734,0.5403637886047363,0.5149005651473999,0.5719298124313354,60.157432317733765
deffcn,FreezerSmallTrain,4,0.8824561238288879,0.5401716828346252,0.514549732208252,0.5719298124313354,60.490583419799805
deffcn,WordSynonyms,0,0.5768024921417236,0.39576321840286255,0.4169852137565613,0.40152379870414734,484.09824872016907